Do you want to be in society?,Do you make an attempt to socialise?,Do you consume things to alter your perspective? (Alcohol and stuff),Are you depressed?,Do you try to improve yourself?,Would you compromise with a friend?,If you and another person were both thirsty and you only had enough water for one person; would you share with the other person?,If a colleague invited you to do something with them; how would you answer? (Date; hang-out; party; etc.),Are you anxious of social interaction?,Do you think you fit in with other people?,Do you shower more than twice a week?,Do you take care of your appearance? (shaving; hair styling; make up; fashion; etc.),Do you talk back in equal volume to someone that is talking to you? (Talking as much as they are to you and amplitude of voice),Which is more difficult?,Does it seem unrealistic to imagine yourself with another person in an intimate context? (Girlfriend; best friends; etc),Do you have long term goals?,Would you rather work in food service; or be unemployed?,You've lived a life with many moments where you regret doing nothing.,Is it reasonable to think that the majority of people are dumb?,Have you given up?,Are you currently celibate? (No sex for a while),Do you live your life by your own volition?,Can you look people in the eyes without discomfort?,Has anyone ever described you as awkward; autistic; weird; etc.?,Do you currently have a romantic partner? (Unrequited(crushes); non-exclusive and/or non-monogamous relationships DO NOT count),Do you currently have a medium for socialization? (Social media; work; etc.),Do you talk to people on a regular basis? (Internet stuff doesn't count),Do you have unconventional interests? (Anime; collecting specific items; weird fetishes; etc.),Are you currently in education; training or employment?,Are you good at speaking?,Is your family proud of you?,Do people usually like being around you?,Can you transport yourself easily?,Are you physically in-shape?,X,Y
Y,Y,Y,0,0,A,N,Y,0,A,Y,A,D,N,Y,Y,N,N,D,0,Y,N,Y,N,N,N,N,Y,Y,N,0,N,0,N,-3.0,2.25
D,A,0,A,A,D,Y,Y,0,0,N,Y,0,Y,A,Y,N,Y,D,A,Y,Y,Y,Y,Y,Y,Y,N,Y,0,Y,A,Y,Y,-1.0,4.0
D,0,Y,N,Y,Y,Y,Y,N,N,N,A,Y,Y,A,N,Y,Y,Y,0,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,0,0,N,-2.0,0.75
A,A,D,D,Y,N,N,N,A,N,Y,N,N,Y,Y,Y,N,Y,0,D,N,Y,N,N,N,N,Y,Y,N,N,D,A,0,Y,-0.5,1.5
0,Y,Y,D,Y,0,Y,N,0,Y,N,D,N,N,A,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,A,0,Y,0,D,-3.5,-2.0
Y,D,Y,N,Y,D,Y,N,Y,A,Y,N,D,N,A,Y,N,N,0,D,Y,N,N,N,N,N,N,Y,N,Y,0,0,0,D,-5.5,-2.0
N,A,0,Y,A,Y,N,N,Y,D,Y,0,D,Y,D,N,Y,N,D,D,Y,N,N,N,N,N,N,Y,Y,Y,Y,D,A,D,-7.0,2.25
0,Y,Y,N,Y,D,N,Y,D,A,Y,A,Y,N,A,N,N,N,A,D,Y,Y,N,Y,Y,N,N,Y,N,D,Y,Y,0,N,-3.5,-2.0
Y,N,Y,A,D,A,Y,Y,Y,0,Y,A,D,N,N,N,N,Y,D,Y,N,Y,N,Y,N,Y,Y,N,N,0,Y,D,0,D,-3.0,3.25
D,A,N,Y,D,A,N,N,Y,Y,Y,A,A,Y,N,Y,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,A,N,A,A,0.5,6.0
D,Y,A,D,0,0,Y,Y,D,D,N,A,D,N,A,N,N,Y,A,N,Y,Y,Y,N,Y,N,N,Y,N,N,A,D,Y,Y,-2.0,-3.0
