Do you want to be in society?,Do you make an attempt to socialise?,Do you consume things to alter your perspective? (Alcohol and stuff),Are you depressed?,Do you try to improve yourself?,Would you compromise with a friend?,If you and another person were both thirsty and you only had enough water for one person; would you share with the other person?,If a colleague invited you to do something with them; how would you answer? (Date; hang-out; party; etc.),Are you anxious of social interaction?,Do you think you fit in with other people?,Do you shower more than twice a week?,Do you take care of your appearance? (shaving; hair styling; make up; fashion; etc.),Do you talk back in equal volume to someone that is talking to you? (Talking as much as they are to you and amplitude of voice),Which is more difficult?,Does it seem unrealistic to imagine yourself with another person in an intimate context? (Girlfriend; best friends; etc),Do you have long term goals?,Would you rather work in food service; or be unemployed?,You've lived a life with many moments where you regret doing nothing.,Is it reasonable to think that the majority of people are dumb?,Have you given up?,Are you currently celibate? (No sex for a while),Do you live your life by your own volition?,Can you look people in the eyes without discomfort?,Has anyone ever described you as awkward; autistic; weird; etc.?,Do you currently have a romantic partner? (Unrequited(crushes); non-exclusive and/or non-monogamous relationships DO NOT count),Do you currently have a medium for socialization? (Social media; work; etc.),Do you talk to people on a regular basis? (Internet stuff doesn't count),Do you have unconventional interests? (Anime; collecting specific items; weird fetishes; etc.),Are you currently in education; training or employment?,Are you good at speaking?,Is your family proud of you?,Do people usually like being around you?,Can you transport yourself easily?,Are you physically in-shape?,What is your biological sex?,How tall are you?,How attractive are you (from 0 to 10),What is your BMI?,How many friends and colleagues do you currently have?,Rate your life right now.,Which climate do you live in?,X,Y,result
Y,Y,D,0,A,Y,N,N,0,N,N,0,0,N,0,N,N,Y,D,N,N,Y,Y,Y,Y,Y,Y,Y,Y,A,N,0,A,D,male,11,21,31,41,51,tropical,0.0,-0.25,Cool normie
D,Y,A,N,N,A,Y,N,A,A,Y,A,Y,Y,N,N,N,N,D,D,Y,N,N,N,N,N,N,N,Y,A,D,Y,N,N,male,11,21,31,41,51,dry,-6.0,4.5,Failed normie
D,A,Y,Y,0,A,N,N,A,A,Y,N,D,Y,0,Y,Y,Y,0,0,N,Y,N,N,Y,N,Y,N,Y,0,D,Y,Y,0,male,11,21,31,41,51,mild,0.0,4.25,Niche normie
A,D,D,D,A,0,N,Y,D,D,Y,Y,0,N,N,Y,N,N,N,0,N,N,Y,Y,N,Y,Y,Y,N,0,Y,A,D,A,male,11,21,31,41,51,snow,-5.0,-2.25,Sperg
0,N,D,A,Y,Y,Y,Y,N,N,Y,Y,0,Y,D,N,N,Y,Y,D,Y,Y,N,Y,Y,N,Y,N,N,A,N,A,Y,A,male,11,21,31,41,51,polar,-5.0,4.25,Failed normie
N,0,N,0,Y,Y,Y,Y,0,N,Y,Y,Y,N,A,N,N,N,Y,0,N,N,N,N,N,Y,Y,Y,Y,D,Y,A,Y,N,male,11,21,31,41,52,tropical,-2.5,-1.5,Lame normie
A,A,N,N,N,D,N,Y,D,Y,Y,D,0,N,Y,Y,N,N,A,Y,Y,Y,N,Y,Y,N,N,N,N,D,D,N,N,Y,male,11,21,31,41,52,dry,-5.5,-5.5,Sperg
Y,0,N,D,Y,0,Y,N,N,A,Y,A,Y,Y,A,Y,Y,Y,A,A,N,N,N,N,N,Y,Y,Y,N,A,0,N,D,A,male,11,21,31,41,52,mild,-4.5,1.25,Failed normie
A,0,Y,Y,Y,D,N,N,A,N,N,Y,D,N,0,Y,Y,Y,Y,0,Y,N,Y,N,Y,Y,N,Y,Y,Y,0,Y,Y,D,male,11,21,31,41,52,snow,-3.5,0.5,Lame normie
A,0,Y,A,A,N,N,Y,Y,A,N,N,D,Y,Y,Y,N,N,D,N,N,N,Y,Y,N,N,Y,Y,N,D,D,N,0,N,male,11,21,31,41,52,polar,-5.5,2.5,Failed normie
