Do you want to be in society?,Do you make an attempt to socialise?,Do you consume things to alter your perspective? (Alcohol and stuff),Are you depressed?,Do you try to improve yourself?,Would you compromise with a friend?,If you and another person were both thirsty and you only had enough water for one person; would you share with the other person?,If a colleague invited you to do something with them; how would you answer? (Date; hang-out; party; etc.),Are you anxious of social interaction?,Do you think you fit in with other people?,Do you shower more than twice a week?,Do you take care of your appearance? (shaving; hair styling; make up; fashion; etc.),Do you talk back in equal volume to someone that is talking to you? (Talking as much as they are to you and amplitude of voice),Which is more difficult?,Does it seem unrealistic to imagine yourself with another person in an intimate context? (Girlfriend; best friends; etc),Do you have long term goals?,Would you rather work in food service; or be unemployed?,You've lived a life with many moments where you regret doing nothing.,Is it reasonable to think that the majority of people are dumb?,Have you given up?,Are you currently celibate? (No sex for a while),Do you live your life by your own volition?,Can you look people in the eyes without discomfort?,Has anyone ever described you as awkward; autistic; weird; etc.?,Do you currently have a romantic partner? (Unrequited(crushes); non-exclusive and/or non-monogamous relationships DO NOT count),Do you currently have a medium for socialization? (Social media; work; etc.),Do you talk to people on a regular basis? (Internet stuff doesn't count),Do you have unconventional interests? (Anime; collecting specific items; weird fetishes; etc.),Are you currently in education; training or employment?,Are you good at speaking?,Is your family proud of you?,Do people usually like being around you?,Can you transport yourself easily?,Are you physically in-shape?,X,Y
D,Y,0,0,Y,N,Y,N,D,0,N,N,N,Y,D,N,Y,Y,D,Y,Y,N,Y,Y,Y,N,Y,N,N,A,Y,A,Y,A,-6,1.25
0,0,0,D,D,A,Y,N,Y,N,N,Y,N,Y,A,Y,N,N,A,Y,Y,Y,N,N,Y,N,N,Y,N,D,Y,Y,Y,0,-6,-4
D,D,N,A,0,0,N,Y,N,N,N,D,0,Y,A,N,Y,N,D,0,Y,N,N,N,N,Y,N,N,N,Y,D,N,Y,A,-7,-3.25
A,D,A,0,0,N,Y,Y,N,0,N,A,0,N,A,N,N,N,D,N,Y,Y,N,Y,Y,Y,N,N,N,Y,N,A,D,A,-5,0.75
N,0,A,Y,0,A,N,Y,D,Y,Y,D,N,Y,N,Y,Y,N,A,N,Y,Y,Y,N,Y,N,Y,Y,Y,0,0,N,N,A,-2,0.75
D,D,0,Y,0,N,Y,Y,N,Y,N,0,N,N,Y,Y,N,Y,Y,Y,N,N,N,Y,N,N,Y,N,Y,A,N,N,D,A,-4,-2.75
0,A,N,Y,D,N,Y,N,0,A,N,0,Y,Y,0,Y,Y,Y,N,A,Y,Y,Y,N,N,Y,N,Y,Y,N,D,A,0,A,-3,2.25
A,0,A,A,Y,A,N,N,D,Y,Y,0,N,N,Y,Y,Y,Y,D,N,N,N,Y,N,N,N,N,Y,Y,Y,0,A,D,0,-4,5.25
0,Y,Y,Y,Y,A,N,N,D,D,Y,D,D,Y,A,Y,N,Y,0,Y,Y,N,N,N,Y,N,N,N,Y,A,Y,N,N,D,-5,-2.25
A,0,D,A,Y,A,Y,N,N,0,Y,Y,D,N,Y,Y,Y,Y,A,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,0,A,A,A,2,2.5
0,A,N,N,Y,0,Y,Y,0,A,Y,D,N,Y,0,Y,Y,Y,Y,A,Y,Y,N,Y,Y,Y,Y,N,N,N,D,0,D,N,-4,1.5
A,N,A,N,D,D,N,Y,N,A,Y,N,A,Y,A,Y,N,N,N,A,Y,Y,Y,Y,N,N,N,Y,Y,A,Y,D,N,A,-5,-0.25
N,N,Y,0,N,0,Y,Y,Y,0,Y,0,N,N,N,N,N,Y,N,D,N,N,N,N,N,Y,Y,Y,Y,N,0,D,Y,Y,-3,2.25
D,N,A,N,A,A,N,N,A,D,Y,0,A,Y,N,Y,Y,Y,A,A,Y,Y,Y,N,N,N,N,N,Y,N,A,0,Y,N,-3,2
0,A,Y,Y,N,A,N,N,A,Y,N,Y,N,N,Y,Y,Y,Y,Y,A,N,Y,N,Y,Y,N,Y,N,Y,N,Y,A,Y,N,-1,1.75
N,Y,A,A,0,A,Y,Y,A,0,Y,N,D,Y,A,Y,N,N,D,D,N,Y,N,N,Y,N,N,Y,Y,N,0,N,0,D,-2,4.75
D,N,Y,D,D,0,N,Y,0,D,N,0,0,N,0,Y,Y,N,Y,A,Y,Y,Y,Y,N,Y,N,Y,N,A,D,0,N,A,-6,-6.25
Y,D,D,D,0,0,Y,Y,N,D,N,Y,0,Y,0,N,Y,Y,Y,0,N,N,Y,Y,Y,Y,N,Y,N,D,0,Y,A,N,-5,-2.5
D,0,D,Y,0,D,N,Y,A,Y,N,Y,N,N,Y,Y,Y,N,A,A,N,N,Y,N,Y,N,Y,N,N,N,A,D,0,N,-3,-5.25
Y,N,D,N,N,0,N,N,N,Y,Y,Y,0,N,Y,Y,N,N,Y,0,Y,N,Y,Y,N,N,N,Y,Y,A,D,0,A,Y,-7,-4
A,D,A,N,N,N,N,Y,A,Y,Y,A,A,Y,Y,N,N,Y,Y,0,Y,Y,Y,N,Y,Y,N,Y,Y,D,D,N,Y,N,-2,2
0,A,N,D,N,Y,Y,N,A,0,N,0,Y,Y,N,N,Y,N,N,A,Y,Y,N,N,N,N,N,N,N,A,A,0,N,N,-6,-0.25
0,D,Y,0,0,Y,N,N,Y,N,Y,D,Y,Y,N,N,Y,Y,0,Y,Y,N,N,N,Y,N,Y,Y,N,N,Y,Y,0,N,-7,-0.75
D,A,N,Y,D,D,N,Y,0,D,N,A,D,N,A,Y,Y,Y,Y,A,Y,Y,Y,N,Y,N,Y,Y,Y,A,D,0,0,D,-2,-4
0,D,0,A,A,A,N,N,D,0,N,D,N,Y,N,N,Y,N,D,D,Y,N,N,Y,Y,N,Y,N,Y,N,N,Y,N,Y,-5,-0.75
N,Y,D,A,N,N,Y,Y,0,N,Y,N,Y,Y,A,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,N,N,0,A,Y,N,A,-3,3.75
A,Y,N,0,Y,D,N,Y,D,A,N,Y,D,Y,0,Y,N,N,N,0,Y,Y,Y,N,Y,Y,Y,N,N,N,Y,N,D,A,-2,-0.75
Y,0,A,D,0,D,N,Y,N,N,N,A,A,Y,A,Y,N,N,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,Y,N,A,Y,-5,-1.5
A,0,0,Y,A,Y,N,Y,0,D,Y,D,N,N,A,N,Y,N,D,Y,N,N,Y,N,Y,N,Y,N,N,A,0,Y,A,0,-3,0.5
0,A,D,Y,0,0,Y,Y,A,D,N,D,N,N,0,Y,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,Y,N,D,Y,D,Y,-4,0.25
N,0,0,Y,D,N,Y,Y,N,A,Y,0,A,Y,Y,N,Y,N,0,Y,Y,Y,Y,N,N,N,N,Y,N,D,0,A,N,N,-6,-0.5
0,N,A,N,Y,A,Y,Y,A,Y,N,D,A,N,A,Y,Y,Y,0,0,Y,N,Y,N,N,Y,N,N,N,D,Y,0,N,N,-6,3.25
N,A,A,A,N,D,Y,Y,0,Y,N,A,A,Y,Y,N,Y,N,0,0,Y,N,Y,Y,N,Y,Y,N,Y,0,Y,N,A,N,-4,3.25
