Do you want to be in society?,Do you make an attempt to socialise?,Do you consume things to alter your perspective? (Alcohol and stuff),Are you depressed?,Do you try to improve yourself?,Would you compromise with a friend?,If you and another person were both thirsty and you only had enough water for one person; would you share with the other person?,If a colleague invited you to do something with them; how would you answer? (Date; hang-out; party; etc.),Are you anxious of social interaction?,Do you think you fit in with other people?,Do you shower more than twice a week?,Do you take care of your appearance? (shaving; hair styling; make up; fashion; etc.),Do you talk back in equal volume to someone that is talking to you? (Talking as much as they are to you and amplitude of voice),Which is more difficult?,Does it seem unrealistic to imagine yourself with another person in an intimate context? (Girlfriend; best friends; etc),Do you have long term goals?,Would you rather work in food service; or be unemployed?,You've lived a life with many moments where you regret doing nothing.,Is it reasonable to think that the majority of people are dumb?,Have you given up?,Are you currently celibate? (No sex for a while),Do you live your life by your own volition?,Can you look people in the eyes without discomfort?,Has anyone ever described you as awkward; autistic; weird; etc.?,Do you currently have a romantic partner? (Unrequited(crushes); non-exclusive and/or non-monogamous relationships DO NOT count),Do you currently have a medium for socialization? (Social media; work; etc.),Do you talk to people on a regular basis? (Internet stuff doesn't count),Do you have unconventional interests? (Anime; collecting specific items; weird fetishes; etc.),Are you currently in education; training or employment?,Are you good at speaking?,Is your family proud of you?,Do people usually like being around you?,Can you transport yourself easily?,Are you physically in-shape?,What is your biological sex?,How tall are you?,How attractive are you (from 0 to 10),What is your BMI?,How many friends and colleagues do you currently have?,Rate your life right now.,Which climate do you live in?,X,Y
Y,0,Y,Y,A,D,N,N,N,D,N,D,D,N,Y,N,N,Y,0,D,N,N,Y,N,N,N,N,Y,N,Y,0,A,0,0,othersex,11,21,34,41,53,dry,-3,-3.25
0,N,Y,A,A,D,Y,N,Y,N,N,Y,Y,Y,A,Y,Y,Y,Y,0,N,N,Y,Y,N,N,Y,N,N,D,A,A,N,D,othersex,11,22,32,43,52,polar,-1,2
Y,A,D,A,D,D,N,N,D,N,Y,N,D,Y,A,N,N,Y,D,N,Y,N,N,N,Y,N,N,N,N,0,A,Y,N,A,othersex,15,24,34,41,53,snow,-4,-1.25
N,A,0,N,D,D,N,N,0,D,Y,N,Y,N,A,Y,N,N,Y,D,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,D,0,0,female,11,21,34,42,54,dry,3.5,-5.5
A,N,A,N,A,D,Y,N,D,0,Y,A,A,N,A,N,Y,Y,N,D,N,N,Y,N,Y,N,N,Y,Y,A,A,N,0,A,female,14,21,34,42,53,mild,-1.5,4.75
A,0,A,0,D,D,Y,N,0,Y,Y,D,D,N,N,N,Y,N,A,Y,N,Y,N,N,N,Y,Y,Y,Y,D,D,0,0,N,female,14,21,32,43,52,mild,1.5,-5.25
D,0,0,D,A,N,Y,Y,D,A,Y,D,A,N,N,N,Y,N,N,N,Y,N,Y,Y,N,Y,N,Y,N,D,D,D,A,0,othersex,14,23,33,42,53,snow,-5,-1.5
N,A,A,N,0,D,N,Y,D,Y,N,0,Y,N,0,Y,N,N,Y,0,N,N,N,Y,N,N,N,N,N,D,N,0,0,D,male,11,22,31,42,54,polar,-6,-3.75
A,D,D,0,0,D,N,Y,0,Y,Y,A,Y,Y,0,N,Y,Y,N,0,N,N,N,N,N,Y,Y,N,N,D,D,A,N,D,female,13,24,31,43,54,tropical,0.5,0.75
D,0,N,0,A,D,Y,Y,D,A,Y,D,N,Y,N,N,Y,N,0,A,Y,N,Y,N,Y,Y,N,N,Y,0,N,0,D,D,female,14,23,32,42,51,snow,1.5,-3.5
N,0,Y,0,0,N,N,Y,D,Y,N,N,0,Y,0,Y,Y,N,0,D,N,N,Y,Y,N,Y,Y,Y,Y,0,Y,N,D,D,othersex,13,24,31,42,53,dry,1,-1.25
D,Y,D,0,D,Y,N,N,A,0,Y,D,A,Y,A,Y,N,Y,0,Y,Y,N,Y,N,Y,N,Y,N,N,A,D,A,D,Y,female,15,23,32,43,54,snow,-0.5,-2.25
A,0,Y,D,A,D,N,N,N,D,Y,0,N,Y,0,Y,N,N,N,D,Y,Y,Y,N,Y,Y,Y,N,N,A,D,N,A,A,female,14,24,31,42,51,snow,2.5,-0.75
N,A,N,Y,0,D,N,Y,Y,A,N,D,0,N,A,N,Y,N,Y,Y,N,N,Y,Y,N,Y,N,N,Y,Y,Y,N,D,0,othersex,13,21,34,41,51,tropical,-1,-3.5
A,D,N,D,D,Y,N,Y,0,A,N,Y,D,N,0,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,A,D,0,D,0,female,15,21,33,41,53,mild,-2.5,-2.75
Y,N,N,D,0,A,N,N,A,0,Y,D,A,Y,D,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,Y,N,N,N,Y,N,D,Y,female,13,21,32,43,53,snow,0.5,0.75
0,Y,D,A,A,D,Y,N,0,0,Y,N,Y,N,Y,N,Y,Y,0,Y,N,N,Y,Y,N,Y,Y,Y,Y,0,0,A,D,Y,othersex,12,22,31,41,51,tropical,0,0.25
0,Y,D,0,0,Y,Y,Y,A,D,Y,Y,0,N,0,Y,N,Y,0,N,Y,N,Y,N,Y,Y,Y,Y,Y,0,0,N,A,Y,male,12,21,32,43,53,tropical,-1,2.75
Y,N,A,N,D,A,N,Y,N,D,N,Y,D,Y,0,Y,Y,Y,D,N,N,N,N,N,N,Y,N,N,N,0,A,D,Y,D,female,15,21,33,41,53,tropical,-3.5,2.25
0,0,N,Y,A,D,Y,N,0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,A,N,Y,N,N,N,N,Y,N,Y,N,Y,D,N,A,male,11,23,34,43,53,polar,2,-0.25
Y,Y,D,A,Y,A,Y,Y,D,A,N,D,D,Y,Y,Y,Y,Y,Y,A,Y,Y,N,N,N,N,N,N,Y,Y,0,A,Y,Y,othersex,11,22,33,41,53,mild,-1,2.75
Y,N,D,A,0,Y,Y,Y,N,Y,Y,N,D,N,Y,Y,N,Y,A,0,Y,N,Y,Y,N,N,Y,N,Y,Y,A,A,0,A,female,13,23,33,42,53,polar,-1.5,1.75
N,N,Y,N,Y,A,Y,Y,0,Y,N,N,N,N,A,N,Y,Y,Y,D,Y,Y,Y,Y,Y,N,Y,Y,Y,A,Y,A,D,0,male,12,23,34,43,51,snow,0,2.25
A,Y,Y,D,A,N,N,Y,N,A,Y,N,0,N,0,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,N,D,Y,0,Y,A,male,15,23,32,43,51,mild,0,3
D,0,A,N,A,D,Y,Y,N,D,Y,A,N,N,N,N,N,N,D,A,Y,N,Y,Y,N,N,Y,N,Y,Y,A,N,A,A,female,11,22,32,42,54,snow,1.5,-0.25
0,Y,Y,A,Y,D,N,N,Y,A,Y,0,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,D,D,A,D,female,12,24,34,41,53,dry,0.5,0.5
N,A,N,A,D,N,N,N,0,A,Y,D,N,N,0,N,N,N,A,D,Y,N,Y,N,Y,N,Y,N,Y,Y,N,Y,D,N,female,15,24,33,43,52,snow,0.5,-4
N,A,0,D,N,A,Y,N,N,D,Y,N,D,N,D,Y,N,Y,N,A,Y,N,Y,N,Y,N,Y,Y,Y,A,N,N,Y,A,othersex,15,22,31,41,54,dry,0,-0.5
Y,0,D,N,Y,D,Y,N,A,D,Y,Y,0,Y,A,Y,N,Y,D,D,Y,N,Y,N,N,N,Y,N,Y,N,0,0,N,D,male,12,22,32,43,52,tropical,-2,0.5
D,D,Y,A,Y,D,N,N,D,D,Y,N,D,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,D,N,D,N,Y,female,11,24,34,41,53,snow,5.5,-7.25
D,Y,A,D,0,0,Y,Y,A,D,Y,N,N,Y,A,N,N,N,D,Y,N,N,N,Y,Y,N,N,Y,N,A,0,0,0,Y,othersex,14,22,33,42,53,mild,-4,-0.5
Y,A,D,N,A,D,Y,N,N,D,Y,0,A,N,Y,N,N,N,A,A,Y,N,N,Y,Y,N,N,Y,Y,0,D,Y,D,Y,male,14,24,34,43,54,polar,-3,-6.25
A,0,N,D,N,A,Y,Y,0,0,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,Y,N,Y,N,Y,D,A,A,A,Y,male,12,24,31,41,53,snow,-1,4
N,A,D,0,A,0,Y,N,A,A,N,N,N,N,D,Y,Y,N,D,Y,N,N,Y,Y,N,Y,N,N,N,A,Y,D,N,D,female,13,24,31,43,51,tropical,-0.5,1.25
N,N,N,Y,N,Y,Y,Y,0,D,Y,N,D,N,A,N,Y,Y,Y,A,Y,Y,Y,Y,N,N,Y,N,N,0,0,D,Y,Y,male,14,23,33,43,53,polar,-1,-2.25
N,0,0,A,N,Y,Y,N,0,N,Y,N,N,N,N,N,Y,N,N,D,N,Y,N,N,N,N,Y,N,N,0,A,D,A,N,male,12,21,33,42,51,polar,-2,0.5
N,N,Y,0,A,0,Y,Y,A,N,Y,0,A,Y,0,Y,Y,Y,A,0,Y,N,Y,N,Y,Y,N,Y,N,N,D,D,Y,Y,male,11,21,31,41,53,snow,-5,4.25
D,A,Y,0,Y,D,N,Y,0,A,Y,A,0,Y,N,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,D,A,0,0,D,othersex,15,22,31,42,51,tropical,3,3.25
0,N,D,0,A,0,N,N,A,Y,N,0,Y,Y,Y,N,Y,Y,0,N,N,N,N,Y,N,Y,Y,N,Y,D,D,D,N,D,male,15,23,33,41,52,polar,0.5,-1.25
0,N,A,N,D,Y,Y,Y,D,A,Y,N,A,N,0,N,Y,Y,0,0,N,Y,Y,N,N,N,N,Y,Y,0,Y,N,Y,N,female,13,23,31,41,51,mild,1.5,2
N,0,0,D,D,0,Y,N,Y,A,N,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,Y,Y,N,0,0,D,N,A,male,13,23,31,43,53,dry,3,1.25
A,Y,0,A,A,0,N,N,Y,A,Y,Y,0,Y,A,Y,N,N,0,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,A,0,A,female,11,21,34,43,54,dry,1.5,4
Y,0,Y,Y,N,Y,Y,Y,A,0,N,0,N,Y,0,Y,Y,Y,D,Y,N,N,N,Y,N,Y,N,N,N,0,Y,A,D,A,othersex,15,22,34,43,54,polar,-3,5.75
0,Y,A,A,Y,A,N,Y,N,0,N,Y,D,Y,N,Y,N,Y,Y,N,Y,Y,N,N,N,Y,Y,N,N,A,0,Y,0,0,othersex,13,22,34,42,51,polar,-1,4.75
D,D,N,N,N,A,N,N,D,N,Y,Y,A,N,Y,N,N,Y,Y,0,N,N,Y,N,N,N,Y,N,Y,Y,0,Y,Y,Y,othersex,13,23,31,43,53,dry,2,-3.5
N,Y,A,N,A,0,Y,N,Y,N,N,N,A,Y,A,Y,N,N,A,0,Y,Y,Y,Y,Y,N,Y,Y,N,0,0,A,0,N,female,12,22,31,41,53,polar,1.5,-0.5
0,0,Y,D,Y,0,Y,Y,A,0,Y,0,Y,N,N,Y,N,Y,0,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,0,N,0,D,othersex,15,21,34,41,51,tropical,-2,2
0,D,Y,D,D,A,N,N,0,Y,Y,D,N,Y,Y,Y,Y,Y,0,D,N,Y,Y,N,Y,Y,Y,Y,N,A,N,D,A,D,othersex,12,21,33,41,52,mild,1.5,-0.75
D,Y,D,0,N,Y,N,N,A,N,Y,N,Y,N,0,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,N,A,0,Y,Y,N,othersex,15,21,32,41,51,tropical,0,0.25
D,A,Y,N,0,D,Y,N,Y,N,Y,0,N,N,N,N,Y,N,0,N,Y,N,Y,N,N,N,Y,Y,Y,0,N,Y,N,D,male,13,22,34,43,54,mild,-3,-2.5
N,D,N,Y,Y,Y,Y,N,0,A,N,A,D,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,A,Y,Y,D,male,12,22,32,42,53,snow,-2,0.75
Y,N,Y,N,D,N,Y,Y,D,D,Y,N,A,Y,D,N,Y,Y,0,0,N,N,Y,N,N,N,N,N,N,A,D,0,D,Y,othersex,12,24,31,42,51,tropical,-1,0.25
Y,Y,D,Y,A,N,Y,N,Y,0,N,0,N,N,A,Y,N,N,0,D,N,Y,Y,N,Y,Y,Y,N,Y,0,N,D,Y,D,othersex,14,24,34,42,51,dry,5,-2.25
D,0,N,A,D,Y,Y,Y,A,Y,N,A,A,N,N,Y,Y,Y,A,N,Y,N,Y,Y,Y,Y,N,N,N,N,0,0,A,N,female,15,22,31,41,51,snow,-2.5,3.5
Y,A,A,N,D,D,Y,Y,N,N,N,Y,Y,Y,0,Y,Y,N,0,A,N,N,N,Y,Y,Y,N,N,Y,0,D,A,0,Y,female,14,22,31,41,52,tropical,1,0
Y,0,N,0,N,D,N,Y,D,D,N,Y,D,N,0,N,Y,N,Y,Y,Y,N,N,N,N,Y,N,N,Y,0,Y,D,Y,N,othersex,12,22,33,43,51,mild,-2,-6.75
0,D,0,A,A,D,Y,Y,N,N,Y,A,0,Y,A,N,N,Y,Y,A,N,N,N,Y,N,Y,N,Y,Y,D,D,N,A,0,female,12,24,31,42,52,dry,1.5,-0.5
D,A,N,A,D,A,Y,Y,A,A,N,Y,D,N,D,Y,N,Y,0,N,N,Y,Y,Y,N,N,N,Y,N,Y,0,A,Y,D,male,14,22,32,41,53,polar,-2,5
Y,Y,D,N,0,D,N,N,A,0,N,D,Y,N,0,N,Y,N,A,D,Y,N,N,Y,N,N,N,Y,N,0,Y,N,A,0,male,11,24,33,43,51,snow,-7,-4.5
N,D,A,A,N,0,Y,N,0,0,Y,A,N,Y,A,Y,N,Y,Y,A,Y,Y,Y,Y,Y,Y,N,N,Y,D,Y,D,Y,N,male,12,21,31,42,54,mild,-1,0
0,Y,0,0,N,A,N,Y,0,0,Y,A,D,N,Y,Y,N,N,D,N,Y,N,N,Y,Y,Y,N,Y,Y,D,Y,Y,N,N,othersex,14,21,32,43,53,dry,-2,1.25
0,D,A,N,A,0,Y,N,A,Y,N,D,N,N,A,Y,N,Y,D,Y,N,Y,N,Y,Y,Y,N,Y,N,A,D,Y,0,A,female,14,22,32,42,52,dry,0.5,1
Y,N,A,Y,0,N,N,N,Y,D,N,Y,Y,N,Y,N,N,Y,A,D,Y,N,N,Y,Y,Y,N,Y,Y,D,N,A,N,Y,othersex,12,22,31,41,51,tropical,-3,-2
0,Y,D,A,0,A,Y,Y,N,A,N,A,D,N,Y,Y,Y,N,D,D,Y,Y,N,Y,N,N,Y,Y,Y,Y,A,D,0,0,male,14,24,33,41,52,tropical,-1.5,4.25
0,Y,Y,N,D,A,Y,N,D,0,Y,Y,D,Y,D,Y,Y,N,0,A,Y,Y,Y,N,Y,N,Y,Y,Y,A,Y,D,A,Y,male,11,23,32,43,54,dry,2,0
D,D,Y,Y,Y,A,N,Y,Y,Y,N,N,Y,N,0,N,N,N,A,Y,Y,N,Y,Y,Y,N,N,N,N,0,D,N,N,0,female,15,21,32,43,53,polar,-4.5,-5
A,0,N,Y,N,0,N,N,Y,0,N,Y,A,Y,0,N,N,N,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,0,D,D,N,A,othersex,15,21,34,42,54,dry,0,-2.25
N,D,Y,Y,D,D,Y,N,0,D,Y,D,A,Y,D,Y,N,N,D,N,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,D,othersex,11,24,31,43,54,snow,0,-2.75
D,N,N,D,A,D,N,N,0,0,Y,A,0,N,A,Y,N,Y,0,D,Y,N,Y,N,Y,Y,Y,Y,Y,D,A,Y,D,A,male,14,22,31,41,53,mild,-1,-1.25
N,D,A,0,N,N,N,Y,A,Y,N,A,Y,N,Y,N,Y,N,A,D,Y,N,Y,N,Y,Y,N,Y,N,N,Y,D,D,Y,male,14,23,34,42,52,snow,-2,-1.25
D,D,Y,0,Y,Y,N,Y,Y,N,Y,N,A,N,N,Y,N,N,0,0,N,N,N,Y,Y,Y,Y,Y,N,Y,A,A,0,N,othersex,14,24,34,41,54,tropical,-2,-0.5
0,D,Y,N,0,N,Y,Y,Y,N,N,Y,Y,Y,D,Y,Y,N,A,0,Y,N,N,N,N,Y,Y,N,N,N,N,D,0,D,female,15,22,31,42,54,dry,-1.5,-1.5
0,D,0,0,D,D,N,Y,D,Y,Y,Y,A,Y,D,N,N,N,A,0,N,Y,Y,Y,N,N,N,Y,N,D,D,D,N,A,female,12,23,34,42,53,dry,0.5,-5.75
D,A,Y,N,A,Y,N,Y,A,N,N,Y,0,Y,A,Y,Y,N,Y,A,N,Y,N,N,N,N,N,Y,N,Y,Y,0,N,0,othersex,14,22,33,43,54,polar,-2,0.5
A,D,0,A,D,A,Y,N,D,A,N,Y,Y,N,0,N,Y,Y,N,A,N,N,Y,N,Y,N,N,Y,Y,D,Y,0,Y,D,othersex,15,23,32,43,53,dry,1,0
